file,start,end,speaker,gender,age,birth_year,prompt,emotion,duration,angry_ac,happy_ac,neutral_ac,sad_ac,scared_ac,emotion_ac
./experiments/essv26_emotionalportrayal/data/./german/G_1991_M_26/G_1991_M_26_rf.wav,0 days 00:00:04.194000,0 days 00:00:10.174000,M_26,male,34,1991,rf,unknown,5.98,-1.832,1.757,1.066,-3.703,0.762,happy
./experiments/essv26_emotionalportrayal/data/./german/G_1991_M_26/G_1991_M_26_rf.wav,0 days 00:00:10.754000,0 days 00:00:13.854000,M_26,male,34,1991,rf,unknown,3.1,-1.540,1.228,2.515,-2.905,-0.782,neutral
./experiments/essv26_emotionalportrayal/data/./german/G_1991_M_26/G_1991_M_26_rf.wav,0 days 00:00:15.010000,0 days 00:00:17.758000,M_26,male,34,1991,rf,unknown,2.748,-1.142,1.534,3.528,-3.263,-2.063,neutral
./experiments/essv26_emotionalportrayal/data/./german/G_1991_M_26/G_1991_M_26_rf.wav,0 days 00:00:18.242000,0 days 00:00:26.814000,M_26,male,34,1991,rf,unknown,8.572,-2.378,1.115,1.013,-2.534,1.051,happy
./experiments/essv26_emotionalportrayal/data/./german/G_1991_M_26/G_1991_M_26_rf.wav,0 days 00:00:26.914000,0 days 00:00:29.758000,M_26,male,34,1991,rf,unknown,2.844,-2.000,0.518,3.209,-1.730,-1.193,neutral
./experiments/essv26_emotionalportrayal/data/./german/G_1991_M_26/G_1991_M_26_rf.wav,0 days 00:00:32.226000,0 days 00:00:34.878000,M_26,male,34,1991,rf,unknown,2.652,-1.005,1.624,2.460,-3.545,-1.097,neutral
./experiments/essv26_emotionalportrayal/data/./german/G_1991_M_26/G_1991_M_26_rf.wav,0 days 00:00:35.490000,0 days 00:00:39.070000,M_26,male,34,1991,rf,unknown,3.58,-2.398,0.491,3.111,-1.408,-0.968,neutral
./experiments/essv26_emotionalportrayal/data/./german/G_1991_M_26/G_1991_M_26_rf.wav,0 days 00:00:41.570000,0 days 00:00:45.246000,M_26,male,34,1991,rf,unknown,3.676,0.511,1.923,0.089,-4.858,0.467,happy
./experiments/essv26_emotionalportrayal/data/./german/G_1991_M_26/G_1991_M_26_rf.wav,0 days 00:00:45.410000,0 days 00:00:49.086000,M_26,male,34,1991,rf,unknown,3.676,-1.902,0.798,1.752,-2.223,0.093,neutral
./experiments/essv26_emotionalportrayal/data/./german/G_1991_M_26/G_1991_M_26_rf.wav,0 days 00:00:52.834000,0 days 00:00:55.326000,M_26,male,34,1991,rf,unknown,2.492,-2.217,1.252,0.452,-2.944,1.535,scared
